SID,category,cname,setlow,myprice,last_price,disct
SZ163110,FD,申万量化,1.942,2.665,2.703
SZ162712,ZQ,广发聚利,1.376,1.449,1.396
SZ163210,ZQ,诺安纯债,0.996,1.033,1.034
