category,premium,52KH,share,30avg,jk,last_price,myprice,setlow,range,cname,disct,52KL,SID,current_price,volumn
FD,0.36%,2.826,7200,4.33万,2.427,2.43,2.59,1.942,38.64,申万量化,,2.210,SZ163110,￥2.448,27.80亿
ZQ,-0.14%,1.449,18100,18.51万,1.387,1.396,1.449,1.376,16.44,广发聚利,,1.376,SZ162712,￥1.388,12.42亿
ZQ,-4.22%,1.121,7300,51.72万,0.999,1.043,1.032,0.996,12.77,诺安纯债,,0.980,SZ163210,￥0.998,3.49亿
ZQ,-3.03%,1.020,13200,133.37万,0.958,0.973,0.991,0.968,44.55,富国天锋,,0.910,SZ161019,￥0.959,4.16亿
ZQ,-0.10%,1.107,10300,1889.57万,1.029,1.074,1.077,1.049,2.47,富国天丰,,1.026,SZ161010,￥1.028,8.19亿
ZQ,-3.77%,1.198,6400,5.23万,0.969,1.002,1.033,0.967,1.3,安丰18,,0.967,SZ160515,￥0.970,125.94亿
ZQ,-0.20%,1.049,7700,-,0.983,1.009,1.01,0.98,55.7,天利同弘,,0.900,SZ164210,￥0.983,5.81亿
ZQ,-3.51%,1.080,11400,84.01万,0.974,1.009,1.037,1.013,10.92,民生增利,,0.961,SZ166902,￥0.974,15.72亿
