date,date_format,open,close
"Dec 12, 2016",20161112,2095.58,1984.39
"Dec 9, 2016",20161109,2114.45,2099.89
"Dec 8, 2016",20161108,2135.79,2114.71
"Dec 7, 2016",20161107,2123.55,2134.99
"Dec 6, 2016",20161106,2149.75,2122.26
"Dec 5, 2016",20161105,2129.24,2143.88
"Dec 2, 2016",20161102,2180.39,2143.45
"Dec 1, 2016",20161101,2181.73,2181.93
"Nov 30, 2016",20161130,2157.54,2183.05
"Nov 29, 2016",20161129,2161.78,2160.35
"Nov 28, 2016",20161128,2172.97,2166.04
"Nov 25, 2016",20161125,2145.97,2167.53
"Nov 24, 2016",20161124,2159.61,2146.63
"Nov 23, 2016",20161123,2182.1,2165.71
"Nov 22, 2016",20161122,2156.52,2177.65
"Nov 21, 2016",20161121,2156.46,2152.6
"Nov 18, 2016",20161118,2164.71,2157.96
"Nov 17, 2016",20161117,2176.12,2163.04
"Nov 16, 2016",20161116,2187.5,2182.47
"Nov 15, 2016",20161115,2161.57,2179.3
"Nov 14, 2016",20161114,2146.83,2161.69
"Nov 11, 2016",20161111,2143.58,2146.58
"Nov 10, 2016",20161110,2143.56,2143.32
"Nov 9, 2016",20161109,2150.62,2123.84
"Nov 8, 2016",20161108,2138.45,2150.3
"Nov 7, 2016",20161107,2141.3,2130.3
"Nov 4, 2016",20161104,2151.92,2145.23
"Nov 3, 2016",20161103,2137.13,2153.18
"Nov 2, 2016",20161102,2170.81,2146.4
"Nov 1, 2016",20161101,2160.39,2176.45
"Oct 31, 2016",20161031,2158.57,2159.76
"Oct 28, 2016",20161028,2182.56,2165.43
"Oct 27, 2016",20161027,2182.9,2182.48
"Oct 26, 2016",20161026,2203.48,2184.49
"Oct 25, 2016",20161025,2202.79,2200.21
"Oct 24, 2016",20161024,2184.11,2200.8
"Oct 21, 2016",20161021,2196.85,2181.0
"Oct 20, 2016",20161020,2187.41,2193.26
"Oct 19, 2016",20161019,2200.53,2184.91
"Oct 18, 2016",20161018,2164.6,2198.14
"Oct 17, 2016",20161017,2199.18,2167.86
"Oct 14, 2016",20161014,2203.87,2194.23
"Oct 13, 2016",20161013,2211.76,2208.57
"Oct 12, 2016",20161012,2202.36,2209.69
"Oct 11, 2016",20161011,2207.43,2210.86
"Oct 10, 2016",20161010,2165.85,2208.47
"Sep 30, 2016",20160930,2144.47,2149.9
"Sep 29, 2016",20160929,2141.34,2146.18
"Sep 28, 2016",20160928,2143.72,2139.63
"Sep 27, 2016",20160927,2118.95,2140.8
"Sep 26, 2016",20160926,2154.4,2122.9
"Sep 23, 2016",20160923,2171.63,2156.51
"Sep 22, 2016",20160922,2174.3,2168.42
"Sep 21, 2016",20160921,2158.06,2162.13
"Sep 20, 2016",20160920,2164.42,2158.43
"Sep 19, 2016",20160919,2149.37,2165.21
"Sep 14, 2016",20160914,2137.4,2144.56
"Sep 13, 2016",20160913,2157.95,2145.87
"Sep 12, 2016",20160912,2163.45,2145.56
"Sep 9, 2016",20160909,2223.58,2202.97
"Sep 8, 2016",20160908,2211.39,2223.47
"Sep 7, 2016",20160907,2223.02,2212.05
"Sep 6, 2016",20160906,2183.23,2222.84
"Sep 5, 2016",20160905,2178.63,2182.69
"Sep 2, 2016",20160902,2176.39,2170.86
"Sep 1, 2016",20160901,2192.94,2181.33
"Aug 31, 2016",20160831,2194.61,2191.76
"Aug 30, 2016",20160830,2197.49,2195.53
"Aug 29, 2016",20160829,2187.72,2193.2
"Aug 26, 2016",20160826,2186.0,2189.75
"Aug 25, 2016",20160825,2179.01,2180.66
"Aug 24, 2016",20160824,2178.53,2192.17
"Aug 23, 2016",20160823,2168.34,2174.16
"Aug 22, 2016",20160822,2205.58,2167.4
"Aug 19, 2016",20160819,2200.68,2204.56
"Aug 18, 2016",20160818,2204.95,2201.59
"Aug 17, 2016",20160817,2200.24,2208.2
"Aug 16, 2016",20160816,2195.02,2201.1
"Aug 15, 2016",20160815,2126.79,2193.21
"Aug 12, 2016",20160812,2098.77,2123.84
"Aug 11, 2016",20160811,2134.6,2103.4
"Aug 10, 2016",20160810,2155.39,2137.0
"Aug 9, 2016",20160809,2128.64,2154.51
"Aug 8, 2016",20160808,2102.24,2130.59
"Aug 5, 2016",20160805,2128.74,2109.06
"Aug 4, 2016",20160804,2107.62,2129.65
"Aug 3, 2016",20160803,2110.23,2108.31
"Aug 2, 2016",20160802,2096.55,2113.21
"Aug 1, 2016",20160801,2113.67,2099.18
"Jul 29, 2016",20160729,2144.27,2122.41
"Jul 28, 2016",20160728,2150.32,2139.74
"Jul 27, 2016",20160727,2282.07,2155.39
"Jul 26, 2016",20160726,2245.94,2279.55
"Jul 25, 2016",20160725,2245.86,2245.89
"Jul 22, 2016",20160722,2262.1,2250.0
"Jul 21, 2016",20160721,2266.08,2265.13
"Jul 20, 2016",20160720,2272.64,2268.54
"Jul 19, 2016",20160719,2249.74,2273.72
"Jul 18, 2016",20160718,2257.42,2249.87
"Jul 15, 2016",20160715,2289.1,2263.78
"Jul 14, 2016",20160714,2282.16,2293.08
"Jul 13, 2016",20160713,2258.26,2285.37
"Jul 12, 2016",20160712,2218.02,2247.35
"Jul 11, 2016",20160711,2242.26,2218.59
"Jul 8, 2016",20160708,2231.97,2239.0
"Jul 7, 2016",20160707,2240.9,2233.92
"Jul 6, 2016",20160706,2239.76,2241.56
"Jul 5, 2016",20160705,2253.69,2246.02
"Jul 4, 2016",20160704,2195.62,2248.71
"Jul 1, 2016",20160701,2231.18,2211.18
"Jun 30, 2016",20160630,2213.6,2227.79
"Jun 29, 2016",20160629,2228.51,2209.79
"Jun 28, 2016",20160628,2181.41,2216.71
"Jun 27, 2016",20160627,2111.1,2191.81
"Jun 24, 2016",20160624,2131.15,2127.36
"Jun 23, 2016",20160623,2144.58,2137.49
"Jun 22, 2016",20160622,2085.98,2144.82
"Jun 21, 2016",20160621,2135.46,2092.0
"Jun 20, 2016",20160620,2117.99,2119.63
"Jun 17, 2016",20160617,2109.57,2122.89
"Jun 16, 2016",20160616,2124.16,2101.42
"Jun 15, 2016",20160615,2033.6,2128.8
"Jun 14, 2016",20160614,2045.21,2058.31
"Jun 13, 2016",20160613,2150.39,2054.71
"Jun 8, 2016",20160608,2191.27,2186.54
"Jun 7, 2016",20160607,2202.04,2196.73
"Jun 6, 2016",20160606,2212.46,2199.3
"Jun 3, 2016",20160603,2176.36,2204.97
"Jun 2, 2016",20160602,2163.59,2188.56
"Jun 1, 2016",20160601,2164.73,2168.82
"May 31, 2016",20160531,2061.84,2159.8
"May 30, 2016",20160530,2054.62,2058.52
"May 27, 2016",20160527,2076.3,2069.89
"May 26, 2016",20160526,2060.43,2086.01
"May 25, 2016",20160525,2091.97,2067.25
"May 24, 2016",20160524,2094.21,2075.51
"May 23, 2016",20160523,2073.0,2098.23
"May 20, 2016",20160520,2018.38,2065.3
"May 19, 2016",20160519,2023.96,2037.4
"May 18, 2016",20160518,2062.81,2020.48
"May 17, 2016",20160517,2059.52,2081.44
"May 16, 2016",20160516,2017.84,2057.86
"May 13, 2016",20160513,2030.94,2025.22
"May 12, 2016",20160512,2006.26,2034.57
