category,share,last_price,myprice,setlow,cname,disct,SID
FD,5000,2.560,2.647,1.942,申万量化,,SZ163110
ZQ,18100,1.396,1.449,1.376,广发聚利,,SZ162712
ZQ,7300,1.043,1.032,0.996,诺安纯债,,SZ163210
ZQ,13200,0.973,0.991,0.968,富国天锋,,SZ161019
ZQ,10300,1.074,1.077,1.049,富国天丰,,SZ161010
ZQ,6400,1.002,1.033,0.967,安丰18,,SZ160515
ZQ,7700,1.009,1.01,0.98,天利同弘,,SZ164210
ZQ,11400,1.009,1.037,1.013,民生增利,,SZ166902
