category,premium,52KH,52KL,30avg,jk,last_price,myprice,setlow,range,cname,disct,SID,current_price,volumn
FD,0%,2.999,1.12,4.33万,2.675,2.703,2.665,1.942,82.81,申万量化,,SZ163110,￥2.676,21.28亿
ZQ,0.21%,1.67,1.103,18.51万,1.397,1.396,1.449,1.376,52.38,广发聚利,,SZ162712,￥1.400,21.53亿
ZQ,-0.76%,1.338,0.892,51.72万,1.032,1.043,1.032,0.996,33.41,诺安纯债,,SZ163210,￥1.041,3.64亿
ZQ,-1.31%,1.109,0.949,133.37万,0.974,0.986,0.992,0.968,17.5,富国天锋,,SZ161019,￥0.977,4.24亿
ZQ,-0.38%,1.23,1.011,1889.57万,1.063,1.053,1.074,1.049,23.29,富国天丰,,SZ161010,￥1.062,16.44亿
ZQ,-1.28%,1.279,0.955,5.23万,0.998,1.035,1.036,0.967,13.89,安丰18,,SZ160515,￥1.000,11.59亿
ZQ,0.10%,1.049,0.98,-,1.00,1.009,1.01,0.98,21.74,天利同弘,,SZ164210,￥0.995,4.02亿
ZQ,0%,1.173,0.918,84.01万,1.034,1.035,1.05,1.013,45.49,民生增利,,SZ166902,￥1.034,17.34亿
