category,share,last_price,myprice,setlow,cname,disct,SID
IN,2700,2.305,2.332,1.89,上证50ETF,,SH510050
IN,,,,2.8,华泰沪深300,,SH510300
IN,8500,1.739,1.858,1.74,创业板,,SZ159915
IN,,,,0.88,中证1000,,SH512100
IN,3300,1.103,0.494,0.8,H股ETF,,SH510900
IN,,,,0.81,德国30,,SH513030
IN,100,1.973,1.973,1.5,纳值ETF,,SH513100
IN,100,1.538,1.538,1.14,标普500,,SH513500
ZT,6700,0.925,0.967,0.9,白银基金(国泰商品),,SZ161226
ZT,100,0.737,0.737,0.43,华宝油气,,SZ162411
ZT,800,1.005,1.011,0.96,精准医疗(广发医药),,SH501005
