category,share,last_price,myprice,setlow,cname,disct,SID
FD,,,,2,国泰小盘,,SZ160211
FD,503,100,99.985,99,华宝添益,,SH511990
FD,100,100.473,100.473,99,银华日利,,SH511880
FD,100,1.126,1.126,1.02,信息技术,,SZ159939
FD,103,0.827,0.827,0.7,一带一路,,SH502013
FD,100,1.057,1.057,0.88,军工基金,,SH512680
FD,1100,1.116,1.256,1,九泰锐智,,SZ168101
CN,2500,0.976,1.088,1,证券ETF,,SH512880
CN,,,,0.97,深红利(深证红利),,SZ159905
ZT,,,,0.4,养老B,,SZ150306
ZT,,,,0.49,环保B,,SZ150185
